Date,CSP1 LN Equity,VUSA LN Equity,SWDA LN Equity,IEAC LN Equity,IUSA LN Equity,MSEU LN Equity,IMEU LN Equity,IHYG LN Equity,IEMB LN Equity,IWRD LN Equity,ISF LN Equity,PHAU LN Equity,LQDE LN Equity,IEEM LN Equity,EMIM LN Equity,IHYU LN Equity,GBS LN Equity,IEML LN Equity,ITPS LN Equity,SGLD LN Equity,VUKE LN Equity,SPXS LN Equity,LSPU LN Equity,IWDP LN Equity,UDVD LN Equity,IJPE LN Equity,HSPX LN Equity,IEXF LN Equity,IGLN LN Equity,INAA LN Equity,IJPN LN Equity,IUSE LN Equity,ERNE LN Equity,IBTM LN Equity,IEAG LN Equity,SLXX LN Equity,MINT LN Equity,IGLT LN Equity,IBGX LN Equity,IEUX LN Equity,SJPA LN Equity,EMDD LN Equity,IBTS LN Equity,SPY5 LN Equity,IPRP LN Equity,IFFF LN Equity,CRPH LN Equity,IBGS LN Equity,IS15 LN Equity,MVOL LN Equity,IGLS LN Equity,IUAG LN Equity,SDIG LN Equity,EMBE LN Equity,IBCI LN Equity,IRCP LN Equity,SPMV LN Equity,INXG LN Equity,MIDD LN Equity,VWRD LN Equity,IWVL LN Equity,IEGA LN Equity,SGQX LN Equity,IDP6 LN Equity,MVEU LN Equity,STHY LN Equity,STHE LN Equity,STYC LN Equity,IUKD LN Equity,VDEM LN Equity,JPXU LN Equity,IUKP LN Equity,SGLO LN Equity,VDJP LN Equity,L100 LN Equity,PHAG LN Equity,CORP LN Equity,CRUD LN Equity,IDVY LN Equity,EUN LN Equity,XLFS LN Equity,SPY4 LN Equity,IWDE LN Equity,IITB LN Equity,IUSP LN Equity,SDHY LN Equity,IUFS LN Equity,HYLD LN Equity,XLKS LN Equity,SMTC LN Equity,IEBB LN Equity,IMIB LN Equity,FXC LN Equity,EMMV LN Equity,GLTS LN Equity,IJPD LN Equity,XGLD LN Equity,COMF LN Equity,SBIO LN Equity,IEVL LN Equity,LTAM LN Equity,HDLV LN Equity,MLPD LN Equity,MLPS LN Equity,ISXF LN Equity,IKOR LN Equity,R2US LN Equity,SGBS LN Equity,IAUP LN Equity,AIGC LN Equity,GCVB LN Equity,ACWD LN Equity,IJPH LN Equity,PHPT LN Equity,OILB LN Equity,SXLE LN Equity,IESP LN Equity,VMID LN Equity,VERX LN Equity,IEGY LN Equity,WFIN LN Equity,UKCO LN Equity,ERNS LN Equity,IOGP LN Equity,TRSY LN Equity,EMAD LN Equity,PHPD LN Equity,AIGA LN Equity,IGUS LN Equity,AIGI LN Equity,FTAL LN Equity,SXLF LN Equity,XLIS LN Equity,COPA LN Equity,IFSE LN Equity,IDTL LN Equity,XLES LN Equity,XLVS LN Equity,3OIL LN Equity,IGWD LN Equity,VGOV LN Equity,GLTY LN Equity,HPRO LN Equity,GDX LN Equity,LOIL LN Equity,GILS LN Equity,AIGE LN Equity,GBSP LN Equity,HEDJ LN Equity,DEL2 LN Equity,GIL5 LN Equity,XCT9 LN Equity,GLTL LN Equity,SUK2 LN Equity,SOIL LN Equity,UK3S LN Equity,LUK2 LN Equity,Unnamed: 314,SPAL LN Equity
2017/3/15 11:00,18479,37.095,3838,128.75,1940,122.12,2038,105.69,111.36,3227,735.3,115.68,112.36,2996,1984.5,105.39,114.07,62.46,163.1,117.58,33.16,412.01,24.225,1986.5,47.77,44.97,1950.8175,116.26,23.6775,3682,1063.5,54.08,100.2,158.02,119.85,144.66,101.53,13.2325,146.24,2663.5,2992,72.5,108.37,238.08,3207,3855,104.7,125.46,106.51,39.07,134.16,102.69,100.38,100.86,175.54,97.49,45.03,17.95,1827,75.18,27.36,120.13,12170,55.84,39.07,101.77,94.28,108.9,934.25,52.36,110.91,578.25,84.16,27.35,961.6,16.1,94.28,7.3175,1918,2765,169.9,48.66,45.86,153.02,2271,95.36,6.36,94.8,126.74,1017.26,5.0425,1026.3,9007,25.375,51.59,31.63,117.78,13.795,31.86,5.64,1359.5,31.2,68.74,88.49,128.04,3269.5,36.67,116.82,9.82,8.551,33.21,109.95,52.8,89.59,22.305,19.635,158.7,30.55,24.635,152.85,37,60.66,100.49,17.43,104.36,55.36,71.23,5.2675,5528,11.245,47.21,25.4875,325.75,25.79,5.49,4.422,348.99,329.59,0.791,4719,22.92,57.26,1797.5,22.44,37.57,14227,3.446,739.25,16.765,287.28,98.95,35.45,64.28,964,90.81,349.6,28724,2017/3/15 11:30,73.05
2017/3/22 11:00,17888,35.885,3741,128.86,1872.5,122.58,2025.5,105.54,112.4,3136,724.1,119.88,112.97,2995,1987.5,104.67,118.15,64.34,161.7,121.86,32.955,407.18,23.95,1987,47.51,43.67,1888.3,116.37,24.5475,3551,1039.5,53.44,100.47,156.85,120.15,144.49,101.55,13.25,145.54,2642,2931,73.39,106.06,234.4,3241,3854,105.54,124.8,106.52,39.29,133.83,103.86,100.73,101.04,173.84,97.3,44.83,17.91,1822,74.28,27.25,120.55,12195,54.52,39.28,102.2,94.8,109.38,925,53.62,107.99,582.5,83.9,27.36,956.2,16.67,94.94,7.0725,1906.5,2751.5,161.46,47.96,45.35,153.23,2238.5,95.31,6.0125,94.47,126.03,1017.26,5.07,1033.3,8998,25.945,51.54,30.68,122.24,13.825,30.71,5.5875,1358,31.11,66.21,86.83,128.05,3295.75,36.04,121.1,9.9675,8.545,33.28,109.7,51.04,92.01,21.775,19.51,159.47,30.39,24.425,153.15,36.12,60.56,100.51,17.12,105.37,55.58,75.49,5.1925,5464,11.215,46.91,24.255,322.87,25.19,5.4975,4.545,347.69,325.63,0.71,4671,23.035,57.34,1785,24.39,35.01,14469,3.42,770,16.91,283.01,98.76,35.02,64.57,974,94.53,354.5,28417,2017/3/22 11:55,76.96
2017/3/29 11:00,18004,35.95,3777,129.67,1885.25,124.57,2049,105.74,112.59,3170,726.3,120.45,113.07,3019,2000.5,106.29,118.77,64.14,161.92,122.48,32.645,409.22,24.0675,2007,47.48,44.27,1900.7476,117.15,24.6675,3580,1057.5,53.67,100.47,157.01,120.62,145.84,101.61,13.3125,146.16,2681.5,2987,72.88,106.06,235.9,3237,3888,105.97,124.99,106.89,39.35,134.05,103.87,100.7,101.77,175.13,97.42,45.13,18.085,1825.5,74.59,27.5,121.23,12374,55.62,39.54,102.29,94.78,110.18,924.75,53.77,107.67,585.5,84.1,27.76,958.5,17.285,95.15,7.26,1940.5,2780,162.68,48.32,45.72,154.83,2243.5,95.77,6.11,95.09,127.29,1017.26,5.0925,1055.5,8987,26.02,51.59,31.15,122.9,13.925,31.3,5.6675,1388.5,31.04,67.86,88.65,128.4,3321,36.64,121.82,9.525,8.618,34.07,110.66,51.92,90.93,22.46,19.6225,160.57,30.37,24.71,153.86,36.32,61,100.58,18.025,105.61,55.72,75.08,5.0925,5490,11.37,47.36,24.4825,324.42,25.81,5.5775,4.561,348.52,325.03,0.765,4711,23.12,57.82,1793.5,23.8,36.8,14154,3.502,770,17.085,297.07,98.86,37.44,65.4,968.25,91,352.4,28570,2017/3/29 12:25,77.67
2017/4/5 11:00,17970,35.895,3763,129.39,1881.75,124.3,2040.5,105.91,112.96,3157,728,120.84,113.43,3015.75,1998.5,106.4,119.21,63.78,162.03,122.82,32.68,410.11,24.1175,2011,47.57,43.45,1897.225,117.5,24.685,3573,1038,54.09,100.54,157.26,121.08,145.84,101.71,13.395,144.34,2663.5,2921,73.24,105.93,236.09,3249,3876,104.81,123.27,106.9,39.2,134.09,104.22,100.83,101.59,173.05,97.96,44.7,18.595,1845.5,74.24,27.2,121.54,12335,54.48,39.92,103.05,95.27,110.82,932,54.1,106.23,597,83.9,27.33,958.4,17.395,95.9,7.66,1923,2763.5,162.09,48.73,45.75,155.02,2307.5,96.15,6.0125,95.19,126.66,1017.26,5.105,1043.9,8951,26.15,51.62,30.18,122.94,14.055,30.62,5.7025,1415.5,30.96,68.66,89.78,128.6,3234.25,37.04,121.79,10.5,8.681,34.84,110.88,51.22,91.96,23.355,20.0575,161.03,30.92,24.59,154.38,35.87,61.98,100.32,18.32,105.84,55.39,77.04,5.105,5497,11.44,47,24.6025,323.03,25.7,5.6325,4.561,355.51,323.95,0.895,4739,23.22,58.03,1829,24.145,41.26,14376,3.663,770,17.185,299.32,98.88,35.43,65.9,967,87.38,351.5,28516,2017/4/5 13:30,79.53
2017/4/12 11:00,17931,35.785,3753,130.08,1876,124.15,2036,107.02,113.33,3150,733.8,122.6,114.67,2979,1980.5,107.1,120.85,64.62,162.42,124.6,32.93,409.37,24.0425,2042,47.53,42.76,1893.4175,117.06,25.0825,3565,1029.5,53.55,100.56,157.9,121.21,145.96,101.59,13.4625,142.96,2650,2900,73.61,105.86,236,3300,3836,104.85,122.17,107.09,39.28,134.09,104.97,101.12,102.46,171.26,97.87,44.89,19.225,1875.5,73.99,26.9,121.72,12373,54.97,40.37,103.3,95.08,111.13,943.5,53.64,104.03,619.75,84.29,27.05,966.9,17.48,96.01,7.99,1907.5,2751,162.49,48.82,45.69,154.66,2294.5,96.62,5.9375,96.36,125.3,1017.26,5.1325,1026.7,8837,26.08,51.64,29.64,124.97,14.005,30.54,5.6325,1373.5,31.21,68.48,89.37,128.91,3172.5,36.82,123.87,9.95,8.67,34.59,109.79,49.93,91.99,24.06,20.0575,160.44,31.3,24.455,154.54,35.48,61.16,100.38,17.7,106.35,54.8,76.82,5.0225,5485,10.92,47.27,24.0725,320.81,25.05,5.6275,4.633,358.14,324.07,1.014,4698,23.4,58.29,1791,25.67,44.53,14488,3.725,789.25,16.955,294.72,98.91,32.96,66.37,949.75,84.02,346.5,29008,2017/4/12 14:05,77.7
2017/4/19 11:00,17399,34.775,3643,129.85,1822.75,123.54,1977,107.15,113.42,3056,709,123.56,113.95,2884.25,1918.5,107.32,121.85,64.9,158.52,125.64,31.8,408.49,24.0225,2008.5,47.46,42.47,1836.9175,117.27,25.265,3460,1004,53.48,100.51,154.62,121.05,146.05,101.59,13.45,140.78,2575.5,2834,73.44,103.13,234.84,3231,3697,105.24,120.31,107.19,39.41,134.08,104.78,101.1,102.87,169.13,97.74,45.06,18.655,1895,74.15,27.18,121.76,12236,55.6,40.08,102.48,95.38,111.62,932.75,53.21,107.36,616.75,82.8,27.17,936.2,17.38,95.83,7.8,1847.5,2661.5,159.35,48.61,45.37,155,2285,96.61,5.9475,96.78,126.37,1017.26,5.1275,986.7,8442,25.95,51.52,29.98,125.75,13.81,31,5.61,1332,30.97,67.77,88.6,128.97,3085.75,36.78,124.66,9.3375,8.542,34.51,109.94,49.86,93.18,23.31,19.51,160.56,31.56,23.755,154.15,35.7,61.39,100.41,17.39,106.46,55.88,74.93,5.06,5474,10.89,46.7,24.0125,323.75,24.725,5.7425,4.683,347.83,323.37,0.943,4670,23.32,58.3,1797.5,24.47,42.57,14082,3.666,786.5,17.12,288.09,98.9,34.49,66.46,1014,87.43,380,27171,2017/4/19 14:40,75.93
2017/4/26 11:00,17733,35.42,3731,130.22,1855.5,128.54,2063.5,107.35,113.79,3128,721.1,121.57,114.13,2977.5,1968.5,104.47,114.38,65.01,157.09,123.53,32.43,415.55,24.45,1972,48.13,44.21,1871.6899,117.27,24.935,3521,1024.5,54.42,100.49,153.62,121.12,146.71,101.59,13.3825,143.23,2715.5,2891,73.35,103.17,239.13,3328,3815,105.58,122.52,107.4,39.78,134.19,104.33,101.11,101.98,171.79,97.71,45.31,18.365,1906,75.86,27.8,121.31,12337,57.68,40.51,103.38,94.77,111.69,945.75,54.1,110.15,622.25,82.32,27.75,952.6,16.67,97.42,7.3,1962,2775,163.08,49.63,46.42,154.62,2199.5,96.79,6.145,97.61,128.93,1017.26,5.1175,1060.4,8671,26.275,51.61,31.25,123.86,13.835,31.94,5.815,1333.5,30.57,68.5,89.44,129.04,3179.75,38.08,123,9.07,8.493,34.69,112.23,52.03,90.73,21.965,19.51,160.18,31.74,25.08,154.31,37.07,61.26,100.42,16.49,106.11,56.99,76.7,5.105,5567,10.965,47.02,24.6725,332.27,24.925,5.8075,4.61,345.53,331,0.767,4784,23.215,58.56,1754,23.03,37.2,14037,3.483,776.5,17.835,308.58,98.89,35.41,65.71,976,92.51,355.5,28100,2017/4/26 15:25,78.81
2017/5/3 11:00,17587,35.12,3704,130.53,1840.25,131.54,2065,107.49,114.55,3105,725,120.67,115.27,2969,1966.5,104.9,118.93,64.59,156.51,122.65,32.26,415.46,24.37,1950,47.51,44.65,1856.0925,117.24,24.6875,3487,1017,54.27,100.49,153.1,121.13,146.59,101.59,13.36,142.78,2718,2873,74.85,102.4,239.06,3320,3811,106.32,121.92,107.3,39.72,133.97,104.54,101.39,101.28,172.69,98.03,45.06,18.455,1915.5,76.48,27.98,121.58,12437,56.4,40.94,103.36,94.92,111.6,942.25,53.85,112.89,620.25,81.73,28.12,947.6,15.81,97.49,7.1575,1962,2780.5,161.82,49.1,46.47,155.06,2164,97.66,6.175,98.18,130.75,1017.26,5.105,1053.7,8520,26.45,51.66,31.79,122.87,13.58,31.4,5.845,1337.5,30.55,66.82,85.71,129.85,3324.25,37.48,121.86,9.185,8.343,35.18,112.7,52.73,87.25,21.215,19.04,160.74,31.96,25.17,154.47,37.03,61.63,100.47,17.145,105.93,57.21,76.71,5.045,5565,10.625,47.04,24.4275,331,24.92,5.82,4.577,339.12,330.61,0.722,4808,23.065,57.97,1743,22.04,34.97,14056,3.391,753.5,18.255,310.56,98.95,34.99,65.62,987.5,95.43,360,27789,2017/5/3 15:55,78.28
2017/5/10 11:00,17584,35.125,3717,130.67,1841,132.1,2094,107.73,114.5,3118,728.7,117.09,115.61,2969.75,1972,105.49,115.45,65.16,155.77,119.43,32.75,416.88,24.5425,1926,47.66,45.49,1856.09,117.77,24.1075,3487,1021,54.56,100.49,151.78,120.82,148.08,101.59,13.1525,141.94,2754,2885,75.41,102.19,239.73,3367,3861,106.3,121.2,106.85,39.88,134.04,104.33,101.44,101.12,171.04,98.35,45.02,18.05,1913,76.96,28.2,121.24,12448,56.06,41.73,102.45,95.28,111.97,962,54.89,111.58,622.5,81.15,27.84,964.9,15.465,97.91,6.8025,1979.5,2818,162.24,49.3,46.87,155.06,2116,94.67,6.05,98.73,132.07,1017.26,5.11,1085.5,8600,26.715,51.69,32.12,120.02,13.665,31.34,5.925,1356,30.41,67.07,86.86,130.58,3399,37.18,118.93,9.78,8.407,34.97,113.31,53.45,86.47,21.625,19.315,160.82,32.14,25.58,154.36,36.75,62.07,100.47,16.895,105.99,58.33,77.02,5.0775,5580,10.645,47.96,24.4425,330.46,23.96,5.7775,4.568,339.42,329.45,0.625,4829,23.145,57.36,1732.5,23.495,32.58,14153,3.34,754.25,18.28,324.3,98.99,33.63,64.67,955.25,93.2,337.5,28794,2017/5/10 16:25,78.58
2017/5/17 11:00,17555,35.07,3730,129.7,1838,130.77,2115,107.5,113.38,3131,747.7,118.93,116.24,3040.5,2008,104.99,117.03,65.68,155.41,121.63,33.555,415.53,24.1825,1920,46.94,45.16,1853.015,117.74,24.5,3483,1024.5,53.85,100.49,151.76,121.18,148.64,101.59,13.325,145.22,2812.5,2893,75.38,102.06,239.33,3483,3867,105.86,123.83,106.95,40.11,134.2,104.83,101.53,102.16,174.94,92.38,44.77,18.385,1946.5,77.12,28.08,121.97,12439,55.12,41.67,102.85,94.91,112.3,962.5,54.01,111.46,610.75,82.06,27.86,988.3,16.17,97.98,7.2175,2021.5,2865.5,160.66,45.4,46.66,156.25,2163,94.89,5.94,98.46,131.14,1017.26,5.1375,1110,8620,26.18,51.58,31.1,123.05,13.9,30.89,5.87,1214,30.76,65.6,86.91,130.51,3389.25,36.69,121.26,9.435,8.494,34.92,113.46,52.2,89.87,22.595,18.0675,161.71,32.4,25.44,155.25,36.68,61.91,100.47,16.62,106.62,58.48,73.02,5.0025,5569,10.775,48.6,24.285,326.07,24.58,5.8125,4.669,340.69,328.79,0.735,4749,23.275,58.13,1763.5,23.665,35.11,13865,3.475,770,18.17,321.44,98.96,32.76,66.01,907,92.06,319.8,30182,2017/5/18 8:10,76.43
