Date,CSP1 LN Equity,VUSA LN Equity,SWDA LN Equity,IEAC LN Equity,IUSA LN Equity,MSEU LN Equity,IMEU LN Equity,IHYG LN Equity,IEMB LN Equity,IWRD LN Equity,ISF LN Equity,PHAU LN Equity,LQDE LN Equity,IEEM LN Equity,EMIM LN Equity,IHYU LN Equity,GBS LN Equity,IEML LN Equity,ITPS LN Equity,SGLD LN Equity,VUKE LN Equity,SPXS LN Equity,LSPU LN Equity,IWDP LN Equity,UDVD LN Equity,IJPE LN Equity,HSPX LN Equity,IEXF LN Equity,IGLN LN Equity,INAA LN Equity,IJPN LN Equity,IUSE LN Equity,ERNE LN Equity,IBTM LN Equity,IEAG LN Equity,SLXX LN Equity,MINT LN Equity,IGLT LN Equity,IBGX LN Equity,IEUX LN Equity,SJPA LN Equity,EMDD LN Equity,IBTS LN Equity,SPY5 LN Equity,IPRP LN Equity,IFFF LN Equity,CRPH LN Equity,IBGS LN Equity,IS15 LN Equity,MVOL LN Equity,IGLS LN Equity,IUAG LN Equity,SDIG LN Equity,EMBE LN Equity,IBCI LN Equity,IRCP LN Equity,SPMV LN Equity,INXG LN Equity,MIDD LN Equity,VWRD LN Equity,IWVL LN Equity,IEGA LN Equity,SGQX LN Equity,IDP6 LN Equity,MVEU LN Equity,STHY LN Equity,STHE LN Equity,STYC LN Equity,IUKD LN Equity,VDEM LN Equity,JPXU LN Equity,IUKP LN Equity,SGLO LN Equity,VDJP LN Equity,L100 LN Equity,PHAG LN Equity,CORP LN Equity,CRUD LN Equity,IDVY LN Equity,EUN LN Equity,XLFS LN Equity,SPY4 LN Equity,IWDE LN Equity,IITB LN Equity,IUSP LN Equity,SDHY LN Equity,IUFS LN Equity,HYLD LN Equity,XLKS LN Equity,SMTC LN Equity,IEBB LN Equity,IMIB LN Equity,FXC LN Equity,EMMV LN Equity,GLTS LN Equity,IJPD LN Equity,XGLD LN Equity,COMF LN Equity,SBIO LN Equity,IEVL LN Equity,LTAM LN Equity,HDLV LN Equity,MLPD LN Equity,MLPS LN Equity,ISXF LN Equity,IKOR LN Equity,R2US LN Equity,SGBS LN Equity,IAUP LN Equity,AIGC LN Equity,GCVB LN Equity,ACWD LN Equity,IJPH LN Equity,PHPT LN Equity,OILB LN Equity,SXLE LN Equity,IESP LN Equity,VMID LN Equity,VERX LN Equity,IEGY LN Equity,WFIN LN Equity,UKCO LN Equity,ERNS LN Equity,IOGP LN Equity,TRSY LN Equity,EMAD LN Equity,PHPD LN Equity,AIGA LN Equity,IGUS LN Equity,AIGI LN Equity,FTAL LN Equity,SXLF LN Equity,XLIS LN Equity,COPA LN Equity,IFSE LN Equity,IDTL LN Equity,XLES LN Equity,XLVS LN Equity,3OIL LN Equity,IGWD LN Equity,VGOV LN Equity,GLTY LN Equity,HPRO LN Equity,GDX LN Equity,LOIL LN Equity,GILS LN Equity,AIGE LN Equity,GBSP LN Equity,HEDJ LN Equity,DEL2 LN Equity,GIL5 LN Equity,XCT9 LN Equity,GLTL LN Equity,SUK2 LN Equity,SOIL LN Equity,UK3S LN Equity,LUK2 LN Equity,Unnamed: 314,SPAL LN Equity
2017/3/15 11:00,18473,37.065,3835,128.45,1941.25,121.84,2036.5,105.64,110,3225,734.8,115.63,111.9,2995.25,1983.5,105.31,114.03,63.22,162.94,117.54,33.14,412.03,24.2125,1988,47.69,44.92,1950.095,115.95,23.68,3679,1062,54.04,100.4,158.01,119.51,144.42,101.52,13.2075,146.22,2660.5,2988,72.33,108.4,238.18,3203,3851,104.87,125.41,106.3,39.03,133.96,103,100.48,100.41,175.56,97.21,44.98,17.94,1825.5,75.08,27.68,120.13,12042,55.44,38.99,100.95,93.56,108.61,934.5,52.29,110.47,578.25,84.11,27.29,960.6,16.09,94.15,7.315,1916,2760,169.4,48.56,45.82,152.92,2260,95.17,6.345,94.61,125.94,1018.79,5.0375,1025.5,8981,25.815,51.46,31.59,117.68,13.77,32.16,5.6275,1356.5,31.43,68.89,88.25,126.98,3263.5,36.6,116.84,9.7625,8.516,33.11,109.82,52.73,89.21,22.175,19.6175,158.38,30.63,24.58,152.71,36.95,60.38,100.38,17.755,104.26,54.17,71.08,4.35,5523,10.6,47.11,25.4625,325.34,25.79,5.48,4.415,348.42,329.57,0.795,4713,22.905,57.15,1812,22.265,37.63,14135,3.444,738.5,16.715,286.47,98.81,33.82,64.18,963,90.57,347.5,28732,2017/3/15 11:55,72.94
2017/3/22 11:00,17881,35.885,3736,128.79,1872,122.62,2023.5,105.58,112.36,3134,723.9,119.79,112.84,2996,1983.5,104.61,118.15,64.41,161.62,121.78,32.915,407.4,23.95,1971,47.38,43.53,1886.245,116.48,24.5425,3547,1038,53.43,100.42,156.78,119.99,144.5,101.59,13.2625,145.63,2645,2924,73.5,106.04,234.49,3236,3851,105.37,124.84,106.3,38.7,133.8,103.77,100.67,101.08,173.86,96.95,44.91,17.865,1819.5,74.19,27.27,120.36,12068,54.79,39.21,102.29,94.69,109.43,923,53.83,107.53,575,83.99,27.31,955.7,16.675,94.55,7.075,1906,2745.5,161.21,47.84,45.31,153.15,2233,95.65,6.0175,94.59,126.25,1018.79,5.07,1031.1,8998,26.015,51.5,30.6,121.96,13.83,30.63,5.58,1348.5,31.25,62.22,86.45,127.4,3287,35.98,121.04,9.6575,8.544,33.11,110,51.05,92.18,21.915,19.515,158.38,30.42,24.36,153.05,35.96,60.51,100.47,17.115,105.2,55.41,75.34,5.185,5448,11.185,46.77,24.185,322.6,25.16,5.5025,4.543,346.94,325.32,0.711,4671,22.955,57.49,1792,24.42,34.97,14367,3.407,768,16.85,281.88,98.62,34.52,63.83,972.5,93.49,353,28360,2017/3/22 12:40,77.13
2017/3/29 11:00,17997,35.955,3776,129.49,1883.5,124.47,2045.5,105.85,112.29,3169,727,120.27,113.21,3019.75,2000.5,103.75,118.83,63.97,162.6,122.39,32.585,409.34,24.0525,1988.5,47.46,44.18,1899.37,117.51,24.68,3577,1058,53.62,100.41,157.1,120.53,146.17,101.67,13.3,145.66,2666.5,2981,72.5,106,235.5,3224,3871,105.04,124.72,106.73,39.33,134,103.69,101.03,101.23,174.27,97.35,45.05,18.035,1815.5,74.36,27.44,121.16,12251,55.28,39.49,102.43,94.97,110.05,923.5,53.84,107.26,588.5,84.26,27.48,958.8,17.26,95.1,7.2525,1944.5,2777,162.29,48.27,45.67,154.73,2256,96.32,6.0575,94.95,127.05,1018.79,5.095,1053.1,8987,25.805,51.54,30.92,122.64,13.965,31.15,5.665,1387,31.01,68.03,88.94,128.79,3293,36.58,121.71,9.705,8.581,33.9,110.8,51.32,90.65,22.62,19.565,160.29,30.38,24.66,153.79,36.2,61.02,100.22,17.915,105.49,55.75,75.29,5.0825,5498,11.315,46.56,24.32,323.61,25.82,5.5825,4.553,347.89,324.59,0.757,4710,23.07,57.6,1793,23.75,36.4,14185,3.496,767.75,17.04,296.26,98.64,36.96,65.14,970.5,90.02,352.2,28445,2017/3/29 13:05,77.29
2017/4/5 11:00,17964,35.895,3759,129.25,1880.25,123.99,2036,106.54,112.81,3155,727.5,120.87,113.89,3013,1997,106.4,119.13,63.62,162.12,122.71,32.63,409.99,24.1175,2014.5,47.64,43.41,1896.8149,117.24,24.72,3572,1037,53.68,100.44,157.22,120.99,146.18,101.56,13.3725,144.13,2661,2919,72.31,105.89,236.24,3244,3875,104.55,123.24,107.03,39.2,134.09,110.53,101.05,101.54,172.53,97.86,44.69,18.61,1849.5,74.15,27.09,121.43,12211,55.22,39.88,102.81,95.06,110.8,924.5,53.45,106.19,610,83.81,26.95,958.3,17.355,95.69,7.67,1922.5,2761,161.9,48.66,45.75,155.05,2300.5,96.77,5.985,95.42,126.59,1018.79,5.0975,1040.2,8967,26.005,51.5,30.11,122.67,14.015,30.96,5.63,1408,30.93,69.82,89.86,128.84,3221.25,36.86,121.79,10.235,8.65,34.47,109.57,50.22,91.68,23.815,20.0825,160.9,30.91,24.505,154.24,35.96,61.01,100.28,18.105,105.76,55.37,77.57,5.06,5464,11.42,46.94,24.5325,322.7,25.64,5.625,4.548,352.02,322.98,0.899,4673,23.16,57.95,1826,24.25,40.97,14428,3.656,768.75,17.125,297.24,98.76,34.57,65.66,968,86.96,350,28484,2017/4/5 14:20,79.55
2017/4/12 11:00,17925,35.78,3749,129.8,1875.5,124.02,2032,106.97,113.27,3144,734,122.53,114.68,2979,1979,107.04,120.82,64.29,162.21,124.56,32.905,409.27,24.035,2039.5,47.5,42.58,1890.73,117.02,25.1,3560,1028.5,53.57,100.48,157.95,121.06,146.1,101.58,13.4775,142.87,2636,2895,73.27,105.75,235.28,3299,3820,104.57,122.14,107.25,39.26,134.03,104.76,101.21,102.22,171.29,97.73,44.82,19.195,1874,73.91,27.04,121.55,12239,55.13,40.3,102.8,95.11,110.81,942,53.52,104.6,618.75,84.15,26.83,967.3,17.44,95.92,7.9775,1913.5,2745.5,159,48.28,45.61,154.56,2298.5,97.04,5.9325,96.51,125.09,1018.79,5.105,1018.8,8775,25.805,51.56,29.69,124.71,13.84,30.73,5.63,1365,30.92,67.45,89.27,128.36,3172.5,36.72,123.81,9.9,8.623,34.25,109.53,49.37,91.81,23.615,20.0375,160.27,31.07,24.285,154.53,35.41,61.1,100.34,17.14,106.43,55.36,75.57,5.05,5458,10.895,40,23.92,320.72,24.975,5.62,4.628,355.36,323.5,1.011,4670,23.405,58.24,1794,25.7,44.37,14381,3.716,789.25,16.94,293.19,98.74,32.56,66.33,951,83.77,344.8,28911,2017/4/12 15:00,77.24
2017/4/19 11:00,17392,34.78,3639,129.75,1820,123.27,1975.5,107.05,113.05,3051,708.8,123.57,114.05,2884.75,1917.5,107.13,121.81,64.52,158.42,125.36,31.815,408.24,24.0175,2001,47.3,42.39,1835.255,117.29,25.305,3455,1003,53.42,100.42,154.84,120.66,146.67,101.58,13.42,140.81,2570,2831,72.94,102.99,235.3,3224,3695,104.99,120.21,107.05,39.38,134.05,104.49,101.37,102.7,168.99,97.53,45,18.66,1897,75.4,27.63,121.84,12112,50,39.99,103.15,95.28,111.27,932.25,53.17,108.1,623.5,82.73,27.12,934.4,17.295,96.08,7.805,1848.5,2656.5,158.77,48.48,45.35,154.92,2284,96.95,5.9225,96.45,126.1,1018.79,5.125,985.6,8487,26.345,51.56,29.95,125.57,13.77,31.46,5.61,1326.5,30.85,67.58,88.42,128.82,3079,36.79,124.67,9.285,8.487,34.52,109.74,49.93,93.23,22.485,19.405,160.36,31.45,23.97,154.2,35.8,60.21,100.34,17.175,106.41,55.01,74.57,5.0025,5462,10.815,40,23.7425,323.18,24.64,5.7275,4.671,342.76,322.98,0.95,4669,23.275,58.15,1782.5,24.35,42.62,14239,3.666,786,17.5,287.51,98.86,34.18,66.3,1012,87.25,378.2,27069,2017/4/19 15:30,75.81
2017/4/26 11:00,17726,35.4,3724,129.9,1853.75,128.33,2060.5,107.4,113.4,3126,721.6,121.45,114.12,2967.5,1969,104.03,120.2,64.29,156.91,123.6,32.425,415.54,24.4375,1959,48.16,44.24,1869.05,117.73,24.91,3515,1024,54.3,100.42,153.7,121.03,146.85,101.58,13.38,143.13,2713,2887,74.31,103.09,239,3324,3809,105.42,122.34,106.84,39.67,134.06,104.3,101.05,101.96,171.53,97.38,45.31,18.35,1902.5,75.88,27.98,121.32,12227,57.43,40.55,103.36,94.56,111.41,943.75,54.01,109.9,623.25,82.08,27.66,953.1,16.635,97.31,7.29,1963.5,2772,162.94,49.61,46.31,154.58,2193,94.3,6.0925,96.68,129.06,1018.79,5.1025,1058.3,8573,26.265,51.52,31.21,123.94,13.76,31.62,5.805,1326,30.48,67.9,89.43,128.74,3170,38.18,122.79,9.0025,8.449,34.69,112.15,51.95,90.36,21.575,19.4,159.96,31.74,24.905,154.35,36.7,61.21,100.34,16.895,106.03,56.37,76.65,5.11,5560,10.95,46.82,24.565,331.49,24.94,5.82,4.607,344.59,328.08,0.763,4771,23.18,57.93,1730,22.725,37.19,13867,3.478,775.5,17.81,308.04,98.66,35.2,65.61,976,91.13,354,28077,2017/4/26 16:10,78.85
2017/5/3 11:00,17582,35.115,3701,130.54,1838.75,131.1,2064,107.78,113.76,3103,718.5,120.59,115.48,2963.25,1965,110.42,118.87,65.6,156.19,122.56,32.25,415.15,24.3675,1931,47.7,44.61,1854.5525,117.74,24.7075,3483,1016,54.3,100.42,153.09,120.65,147.42,101.58,13.35,142.63,2720.5,2870,74.48,102.3,238.87,3319,3781,105.69,121.84,107.05,39.71,134.06,104.3,101.06,101.09,172.35,97.71,44.9,18.51,1914.5,76.34,27.83,121.71,12417,56.5,41.04,102.3,94.45,111.22,940.5,54.04,112.09,624.25,81.74,27.8,947.9,15.725,97.62,7.07,1958.5,2775.5,161.62,49.19,46.42,155.03,2151,94.18,6.12,97.8,130.75,1018.79,5.0825,1050.6,8452,26.565,51.58,31.75,122.84,13.485,30.8,5.8325,1335.5,30.42,64.3,86.66,129.66,3211,37.42,121.74,9.26,8.3,34.58,112.49,52.79,86.69,20.925,19.0075,160.64,31.94,25.4,154.49,37.1,61.62,100.34,17.295,104.57,56.34,76.56,5.05,5575,10.68,47.01,24.6075,332.54,24.78,5.8125,4.588,339.2,331.42,0.701,4769,23.06,57.1,1739.5,22.15,34.99,13919,3.376,754,18.155,309.9,98.81,34.38,65.25,986,94.06,358.6,27753,2017/5/3 16:30,78.44
2017/5/10 11:00,17578,35.125,3717,130.47,1840.25,131.82,2093.5,107.37,114.59,3115,728.7,117.13,115.8,2980,1970.5,104.92,115.43,65.72,155.72,119.32,32.75,416.54,24.525,1921,47.54,45.43,1856.535,116.84,24.06,3486,1021,54.44,100.42,151.76,121.16,148.32,101.58,13.16,141.93,2755,2880,75.23,101.97,239.82,3370,3869,106.25,121.13,107.44,38.01,134.12,104.22,101.08,101.85,170.85,97.97,45,18.2,1912.5,76.11,27.96,121.21,12351,56.57,41.71,102.5,94.89,111.82,956.5,54.63,110.97,617,80.92,27.76,962.2,15.515,97.71,6.835,1975,2814.5,161.53,49.14,46.82,155.28,2099,95.09,6.04,98.59,131.42,1018.79,5.1225,1085.3,8592,26.175,51.29,32.08,119.83,13.475,29.44,5.925,1352,30.25,67.31,87.06,130.63,3355.5,37.33,118.75,9.69,8.473,34.58,112.93,53.33,86.13,22.14,19.365,160.78,31.95,25.53,154.46,36.8,62.01,100.34,17.125,105.92,57.56,76.73,5.0525,5577,10.735,47.93,24.3175,330.53,24.055,5.7525,4.534,343.29,328.54,0.629,4801,23.12,57.36,1729.5,23.49,32.46,14107,3.349,753.5,18.135,323.15,98.88,32.83,64.44,950.5,93.05,337,28818,2017/5/11 8:20,78.39
2017/5/17 11:00,17548,35.075,3726,129.84,1836.75,130.43,2113.5,107.78,115.63,3129,747.9,119.05,115.97,3033.25,2005.5,104.8,117,66.12,155.31,121.53,33.625,415.56,24.1725,1922,46.74,45.12,1852.0601,116.79,24.385,3479,1023.5,54.36,100.42,151.37,121.33,148.35,101.58,13.285,145.06,2794.5,2891,74.97,102.05,238.14,3489,3818,105.42,123.78,107.55,40.06,134.26,104.74,101.54,102.25,175.13,98.27,44.74,18.19,1931,77,27.98,121.81,12405,54.53,41.57,103.26,94.3,112.04,961.75,53.92,111.11,597,82.13,28,986.9,15.945,98.19,6.88,2019.5,2842,160.96,47.89,46.48,156.04,2170,94.98,5.9725,97.84,131.17,1018.79,5.1225,1106.6,8515,26.83,51.53,31.09,122.3,13.885,30.18,5.885,1224.5,30.84,67.03,86.36,130.8,3349.5,36.39,121.32,9.455,8.581,34.58,113,51.67,89.64,22.735,19.0475,161.4,32.3,25.68,154.79,36.78,62.02,100.34,16.07,106.47,58.26,73.38,5.0375,5479,10.52,48.68,23.525,324.33,24.49,5.8025,4.666,330.12,326.59,0.718,4781,23.24,58.1,1775,23.235,35.46,14218,3.46,769.25,17.835,322.45,98.81,32.43,65.23,905.75,91.64,319.3,30148,2017/5/18 9:00,76.16
