Category,Ticker,Name,LONG_COMP_NAME,CURRENCY,SOURCE,SW_DETAILED_DESCRIPTION,INDX_DES,INDX_SOURCE,COUNTRY,REGION_OR_COUNTRY,RELEVANCE_VALUE,,,Field
Equity,SPX Index,S&P 500 INDEX,S&P 500 Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,Standard and Poor's 500 Index is a capitalization-weighted index of 500 stocks. The index is designed to measure performance of the broad domestic economy through changes in the aggregate market value of 500 stocks representing all major industries. The index was developed with a base level of 10 for the 1941-43 base period.,Standard & Poor's,US,North/Latin America,#N/A Field Not Applicable,,,#N/A Invalid Field
Equity,INDU Index,DOW JONES INDUS. AVG,Dow Jones Industrial Average,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Dow Jones Industrial Average is a price-weighted average of 30 blue-chip stocks that are generally the leaders in their industry. It has been a widely followed indicator of the stock market since October 1, 1928.",Dow Jones,US,North/Latin America,#N/A Field Not Applicable,,,
Equity,SX5E Index,Euro Stoxx 50 Pr,EURO STOXX 50 Price EUR,EUR,#N/A Invalid Field,#N/A Field Not Applicable,"The EURO STOXX 50 Index, Europe's leading blue-chip index for the Eurozone, provides a blue-chip representation of supersector leaders in the Eurozone. The index covers 50 stocks from 12 Eurozone countries. The Index is licensed to financial institutions to serve as underlying for a wide range of investment products such as Exchange Traded Funds (ETF), Futures and Options and structured products.",STOXX,EC,Europe/Africa,#N/A Field Not Applicable,,,
Equity,NKY Index,NIKKEI 225,Nikkei 225,JPY,#N/A Invalid Field,#N/A Field Not Applicable,"The Nikkei-225 Stock Average is a price-weighted average of 225 top-rated Japanese companies listed in the First Section of the Tokyo Stock Exchange. The Nikkei Stock Average was first published on May 16, 1949, where the average price was ¥176.21 with a divisor of 225. *We are using official divisor for this index",Nikkei,JN,Pacific Rim,#N/A Field Not Applicable,,,
Equity,VIX Index,CBOE SPX VOLATILITY INDX,Chicago Board Options Exchange SPX Volatility Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Chicago Board Options Exchange Volatility Index reflects a market estimate of future volatility, based on the weighted average of the implied volatilities for a wide range of strikes. 1st & 2nd month expirations are used until 8 days from expiration, then the 2nd and 3rd are used.",Chicago Board Options Exchange,US,North/Latin America,#N/A Field Not Applicable,,,
Equity,DAX Index,DAX INDEX,Deutsche Boerse AG German Stock Index DAX,EUR,#N/A Invalid Field,#N/A Field Not Applicable,"The German Stock Index is a total return index of 30 selected German blue chip stocks traded on the Frankfurt Stock Exchange. The equities use free float shares in the index calculation. The DAX has a base value of 1,000 as of December 31, 1987. As of June 18, 1999 only XETRA equity prices are used to calculate all DAX indices.",Deutsche Borse,GE,Europe/Africa,#N/A Field Not Applicable,,,
Equity,UKX Index,FTSE 100 INDEX,FTSE 100 Index,GBP,#N/A Invalid Field,#N/A Field Not Applicable,"The FTSE 100 Index is a capitalization-weighted index of the 100 most highly capitalized companies traded on the London Stock Exchange. The equities use an investibility weighting in the index calculation. The index was developed with a base level of 1000 as of December 30, 1983. * Please see UKEDA100 Index and FTPTP100 Index for the official FTSE 100 Index Dividend Yield and P/E Ratio*",FTSE,GB,Europe/Africa,#N/A Field Not Applicable,,,
Equity,HSI Index,HANG SENG INDEX,Hong Kong Hang Seng Index,HKD,#N/A Invalid Field,#N/A Field Not Applicable,"The Hang Seng Index is a free-float capitalization-weighted index of a selection of companies from the Stock Exchange of Hong Kong. The components of the index are divided into four subindices: Commerce and Industry, Finance, Utilities, and Properties. The index was developed with a base level of 100 as of July 31, 1964.",Hang Seng Bank Ltd,HK,Pacific Rim,#N/A Field Not Applicable,,,
Equity,SXXP Index,STXE 600 € Pr,STOXX Europe 600 Price Index EUR,EUR,#N/A Invalid Field,#N/A Field Not Applicable,"The STOXX Europe 600 Index is derived from the STOXX Europe Total Market Index (TMI) and is a subset of the STOXX Global 1800 Index. With a fixed number of 600 components, the STOXX Europe 600 Index represents large, mid and small capitalization companies across 18 countries of the European region.",STOXX,EC,Europe/Africa,#N/A Field Not Applicable,,,
Equity,TPX Index,TOPIX INDEX (TOKYO),Tokyo Stock Exchange Tokyo Price Index TOPIX,JPY,#N/A Invalid Field,#N/A Field Not Applicable,"The TOPIX, also known as the Tokyo Stock Price Index, is a capitalization-weighted index of all companies listed on the First Section of the Tokyo Stock Exchange. The index is supplemented by the subindices of the 33 industry sectors. The index calculation excludes temporary issues and preferred stocks, and has a base value of 100 as of January 4, 1968.",Tokyo Stock Exchange,JN,Pacific Rim,#N/A Field Not Applicable,,,
Equity,SHCOMP Index,SHANGHAI SE COMPOSITE,Shanghai Stock Exchange Composite Index,CNY,#N/A Invalid Field,#N/A Field Not Applicable,"The Shanghai Stock Exchange Composite Index is a capitalization-weighted index. The index tracks the daily price performance of all A-shares and B-shares listed on the Shanghai Stock Exchange. The index was developed on December 19, 1990 with a base value of 100. Index trade volume on Q is scaled down by a factor of 1000.","China Securities Index Co., Lt",CH,Pacific Rim,#N/A Field Not Applicable,,,
Equity,RTY Index,RUSSELL 2000 INDEX,Russell 2000 Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Russell 2000 Index is comprised of the smallest 2000 companies in the Russell 3000 Index, representing approximately 8% of the Russell 3000 total market capitalization. The index was developed with a base value of 135.00 as of December 31, 1986.",Russell,US,North/Latin America,#N/A Field Not Applicable,,,
Equity,CAC Index,CAC 40 INDEX,CAC 40 Index,EUR,#N/A Invalid Field,#N/A Field Not Applicable,"The CAC 40, the most widely-used indicator of the Paris market, reflects the performance of the 40 largest equities listed in France, measured by free-float market-capitalization and liquidity. The index was developed with a base level of 1,000 as of December 31, 1987.",NYSE Euronext Paris,FR,Europe/Africa,#N/A Field Not Applicable,,,
Equity,NIFTY Index,Nifty 50,NSE Nifty 50 Index,INR,#N/A Invalid Field,#N/A Field Not Applicable,"Regular Trading Session (India Standard Time): 9:15 - 15:30. To include the close price in GIP <GO>, users are advised to adjust the trading time range on the function to 9:15 - 15:31. To confirm prices, Q <GO> displays all the intraday ticks with timestamps.",National Stock Exchange of Ind,IN,Europe/Africa,#N/A Field Not Applicable,,,
Equity,CCMP Index,NASDAQ COMPOSITE INDEX,NASDAQ Composite Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The NASDAQ Composite Index is a broad-based capitalization-weighted index of stocks in all three NASDAQ tiers: Global Select, Global Market and Capital Market. The index was developed with a base level of 100 as of February 5, 1971.",NASDAQ Global Market,US,North/Latin America,#N/A Field Not Applicable,,,
Equity,IBOV Index,BRAZIL IBOVESPA INDEX,Ibovespa Brasil Sao Paulo Stock Exchange Index,BRL,#N/A Invalid Field,#N/A Field Not Applicable,"It is a gross total return index weighted by market value to the free float & is comprised of the most liquid stocks traded on the Sao Paulo Stock Exchange. The Ibovespa Index has been divided 10 times by a factor of 10 since Jan 1, 1985:12/02/85, 08/29/88, 04/14/89, 01/12/90, 05/28/91, 01/21/92, 01/26/93, 08/27/93, 02/10/94, and 03/03/97. See IBOVHIST <INDEX> for additional history 1968-1989.",BOVESPA,BZ,North/Latin America,#N/A Field Not Applicable,,,
Equity,MXEF Index,MSCI EM,MSCI Emerging Markets Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,The MSCI Em (Emerging Markets) Index is a free-float weighted equity index that captures large and mid cap representation across Emerging Markets (EM) countries. The index covers approximately 85% of the free float-adjusted market capitalization in each country.,MSCI,MULT,Local,#N/A Field Not Applicable,,,
